Word,Conc
粒子,3.076923
粮食,1.96
猎物,2.52
隆冬,2.96
鲁钝,3.791667
迷人,3.807692
妙龄,3.28
摩擦,3.230769
年龄,1.846154
黏性,2.76
篇幅,3.16
平原,1.807692
起床,1.769231
器皿,1.923077
曲线,2.615385
娶亲,1.884615
惹事,3.076923
杀气,4.2
沙石,1.230769
神秘,4.230769
守则,3.038462
受伤,2.307692
双向,3.0
死者,1.56
诵读,2.076923
俗气,3.846154
台词,1.846154
摊牌,2.708333
碳酸,2.083333
烫伤,1.884615
逃跑,2.192308
退休,1.961538
拖车,1.423077
脱水,2.384615
外务,3.5
威风,4.038462
卫冕,2.708333
慰问,2.807692
文士,2.391304
先河,3.304348
相反,2.961538
相扑,1.84
相同,2.75
校际,3.428571
谢谢,2.576923
心底,3.791667
信步,3.52381
修理,2.615385
选民,1.923077
仪器,1.730769
银河,2.615385
荧幕,1.846154
雍容,3.846154
由此,3.454545
鱼网,1.192308
遇害,2.269231
冤狱,2.88
圆形,1.653846
责罚,2.653846
展览,2.076923
找寻,2.68
征服,3.384615
正门,1.846154
知觉,3.423077
滞留,2.538462
专家,2.346154
宗派,2.692308
罪恶,3.192308
作答,2.68
座落,2.346154
安抚,3.461538
薄冰,2.192308
宝贝,3.2
碑文,1.461538
背影,1.692308
兵法,2.807692
剥夺,3.0
不惜,4.041667
餐饮,2.076923
陈旧,2.769231
撑腰,2.923077
赐教,3.2
打扮,2.307692
呆滞,2.961538
挡路,2.115385
地契,1.307692
雕琢,2.346154
迭起,3.681818
读书,1.961538
杜绝,2.961538
渡过,3.08
断交,2.692308
对称,2.153846
鹅蛋,1.115385
恩赐,3.346154
发蜡,1.538462
方式,3.64
方位,2.884615
芳香,3.038462
分内,3.434783
分神,3.384615
分摊,2.538462
更换,2.461538
公布,2.461538
功率,2.269231
攻打,2.423077
恭候,2.923077
管理,3.192308
光度,3.0
后退,2.538462
呼喊,1.961538
黄河,1.153846
伙伴,1.961538
极刑,2.8
减肥,2.730769
见报,2.652174
健忘,2.961538
角色,2.692308
绞刑,1.615385
揭发,2.653846
劫匪,1.538462
结婚,1.653846
金粉,2.0
纠纷,3.0
剧烈,3.538462
开胃,3.115385
空气,2.115385
狼狗,1.153846
累死,3.384615
立功,2.769231
林荫,2.038462
领事,2.28
露骨,3.269231
露营,1.884615
绿茶,1.461538
麻木,3.96
面对,3.115385
名模,2.0
母校,1.653846
木船,1.153846
纳妾,2.038462
纽扣,1.153846
派出,2.916667
判刑,2.5
叛国,2.346154
胖子,2.038462
贫乏,3.346154
聘请,2.461538
起立,1.807692
缱绻,3.2
亲友,1.961538
轻松,3.192308
秋天,1.653846
囚室,1.461538
全校,2.038462
妊娠,1.923077
闪避,2.807692
善恶,3.88
社工,1.923077
饰演,2.653846
首先,2.923077
兽欲,3.538462
输光,2.769231
水果,1.730769
说服,3.038462
送命,3.076923
蒜头,1.307692
挽留,3.230769
午夜,2.076923
峡谷,1.692308
宪制,2.782609
写字,1.615385
新娘,1.230769
虚构,3.384615
药理,3.307692
要挟,3.076923
意欲,3.826087
因子,3.36
阴道,1.461538
银两,1.5
英明,3.615385
预兆,3.36
圆周,2.12
遭遇,3.115385
摘要,2.423077
掌声,1.615385
爪牙,2.384615
之类,3.85
中央,2.423077
终年,2.769231
自负,3.692308
组成,3.269231
钻孔,1.923077
哀求,2.555556
罢课,1.583333
白话,2.638889
颁奖,1.583333
半圆,1.444444
背心,1.916667
必经,3.285714
庇护,3.027778
表面,2.555556
不良,3.138889
不配,3.114286
偿还,2.194444
扯谎,2.714286
粗心,3.138889
淡漠,3.388889
盗用,2.5
点燃,2.0
鼎立,3.277778
对岸,2.142857
恶梦,2.777778
反应,3.333333
放心,3.166667
分子,2.676471
风速,2.166667
封面,1.722222
锋芒,3.555556
概率,3.2
公园,1.388889
共和,3.515152
共聚,3.352941
勾结,3.027778
关口,2.666667
冠名,2.705882
光盘,1.416667
行星,1.722222
合同,1.611111
花红,3.264706
换班,2.166667
吉凶,3.583333
疆界,1.972222
金矿,1.416667
颈椎,1.416667
敬重,3.416667
纠察,3.176471
快乐,3.285714
筷子,1.194444
困扰,3.5
浪漫,3.722222
老练,3.542857
历届,2.25
恋人,1.694444
嶙峋,3.685714
流血,1.583333
隆起,2.416667
每天,1.694444
明白,2.638889
飘忽,3.666667
拚搏,2.942857
平凡,3.111111
平行,2.222222
企图,3.333333
启程,2.75
汽油,1.222222
谴责,3.277778
情书,1.777778
情绪,3.514286
群情,3.84375
热带,2.028571
人才,2.583333
仁义,3.583333
日食,1.555556
软件,1.916667
摄制,2.151515
石刻,2.111111
手球,1.714286
抒情,3.388889
竖琴,1.333333
双亲,1.361111
速递,2.25
算盘,1.805556
烫金,2.085714
特产,2.277778
特约,3.294118
天生,2.972222
天线,1.361111
填写,2.083333
停步,2.083333
痛快,3.257143
汪洋,2.428571
王冠,1.527778
网页,1.611111
微观,3.611111
文静,3.257143
文明,3.611111
武艺,2.611111
瞎眼,2.485714
下课,1.611111
线索,3.057143
孝子,2.388889
信函,1.555556
兴衰,3.472222
休假,1.828571
修长,2.75
巡视,2.388889
殉职,1.8
延期,2.333333
沿岸,1.972222
引进,2.735294
影像,2.166667
应急,2.861111
原野,2.342857
阅读,2.0
云端,3.222222
赃物,1.944444
栅栏,1.583333
战祸,3.111111
照片,1.444444
照相,1.638889
振动,2.222222
指纹,1.333333
主帅,1.722222
装饰,2.388889
自修,3.09375
诅咒,3.666667
薄情,3.722222
编号,1.75
变卖,2.657143
濒临,3.685714
参加,2.628571
惨叫,2.277778
产假,1.457143
抽签,1.861111
出动,2.636364
锉刀,1.388889
打气,2.722222
倒贴,2.944444
低声,2.277778
嘀咕,2.485714
典型,3.361111
逗笑,2.6
断绝,3.142857
恶魔,3.114286
方向,2.722222
飞车,2.055556
分发,2.555556
斧头,1.222222
各位,2.647059
功夫,2.861111
鼓膜,1.882353
寡人,2.485714
合办,3.0
洪亮,3.027778
虎年,1.942857
会计,1.527778
机智,3.111111
角落,2.142857
教师,1.361111
今朝,2.611111
今日,1.777778
京城,1.694444
惊动,3.2
旧友,2.277778
局部,2.888889
空袭,2.0
口红,1.342857
赖账,2.514286
冷漠,3.514286
离开,2.352941
联盟,2.555556
溜冰,1.75
流转,3.058824
蒙面,2.0
弥补,3.257143
庙会,1.916667
名画,1.777778
奶妈,1.514286
耐心,3.611111
南北,2.055556
年报,1.8
怕羞,3.444444
品格,3.694444
迫近,3.441176
破案,2.294118
欺骗,3.055556
欺压,3.138889
奇闻,2.970588
情调,3.694444
屈辱,3.4
全面,3.057143
让开,2.514286
饶舌,2.885714
任意,3.529412
融洽,3.416667
肉麻,3.6
乳酸,1.916667
软化,3.194444
杀手,2.111111
山涧,2.111111
山林,1.833333
上市,2.777778
上学,1.685714
舍监,2.3
深切,3.666667
神经,3.057143
书店,1.472222
抒发,3.657143
水草,1.388889
朔望,3.903226
思潮,3.828571
特殊,3.735294
天鹅,1.472222
同时,3.028571
文化,3.514286
窝囊,3.676471
无形,4.028571
悉心,3.441176
侠盗,2.444444
侠义,3.583333
瑕疵,3.111111
下厨,2.114286
先知,3.40625
携手,2.882353
心软,3.638889
修行,3.416667
袖珍,2.685714
选美,2.527778
学徒,1.833333
压迫,3.444444
氧气,1.583333
议会,2.138889
意图,3.361111
音响,1.472222
用电,2.228571
优惠,2.638889
郁闷,3.571429
栽种,1.972222
糟糕,3.527778
寨主,1.805556
瞻仰,3.194444
战士,1.75
长者,2.194444
涨价,2.388889
振兴,3.142857
征兵,2.027778
挣扎,3.138889
竹叶,1.444444
尊严,3.555556
板块,3.0
帮忙,2.16
帮助,2.28
抱病,2.652174
变通,3.36
彪炳,3.555556
槟榔,1.24
濒危,2.56
病院,2.043478
补偿,2.44
裁决,2.64
采集,2.4
参半,3.12
插曲,2.458333
彻底,2.76
陈设,2.64
城市,1.76
持平,2.68
仇恨,2.75
垂直,1.8
打烊,1.791667
诞生,2.16
敌方,1.88
帝国,2.76
递交,2.44
毒箭,1.916667
赌博,1.92
堆积,2.708333
反抗,2.24
芳心,3.16
防毒,2.666667
非常,3.333333
匪徒,1.56
分类,2.48
风尚,3.76
凤凰,1.96
甘油,1.44
共犯,2.36
观摩,2.68
灌输,3.16
规格,2.434783
柜台,1.48
国防,2.44
葫芦,1.32
户外,2.32
华丽,3.48
欢送,2.52
环绕,2.583333
回报,2.92
获得,2.541667
获悉,2.826087
积聚,3.08
记性,2.909091
枷锁,2.96
角逐,3.166667
借据,1.76
斤两,2.6
经验,3.36
净赚,2.44
敬佩,3.36
究竟,3.45
郡主,1.96
冷藏,2.0
冷静,3.04
廉耻,3.08
录用,1.96
马桶,1.2
蟒蛇,1.12
